Finisher,Points,Price
V Kohli,2270.484514,170000000
RG Sharma,2174.740966,150000000
G Gambhir,1997.341837,28000000
RV Uthappa,2205.114496,64000000
S Dhawan,2202.474477,52000000
MS Dhoni,2661.853062,150000000
DA Warner,2445.387153,120000000
CH Gayle,2742.592645,20000000
AB de Villiers,3217.938244,110000000
AM Rahane,1740.955027,40000000
KD Karthik,2393.343368,74000000
SR Watson,2712.37508,40000000
YK Pathan,2281.86715,19000000
AT Rayudu,2493.283512,22000000
BB McCullum,2433.503234,36000000
Risabh Pant,3299.856959,80000000
Yuvraj Singh,1390.838364,20000000
M Vijay,1898.702685,20000000
MK Pandey,1643.116759,110000000
KA Pollard,2334.786382,54000000
PA Patel,2076.168555,17000000
JP Duminy,1347.413744,10000000
SV Samson,2089.377394,80000000
RA Jadeja,1775.115741,70000000
AJ Finch,2089.285623,62000000
MK Tiwary,2099.597443,10000000
WP Saha,1929.438065,50000000
NV Ojha,1669.457999,14000000
KK Nair,2108.526299,56000000
F du Plessis,1969.061986,16000000
GJ Maxwell,2587.564531,90000000
KL Rahul,2717.172956,110000000
Mandeep Singh,2030.228538,14000000
DJ Bravo,2598.483063,64000000
S Raina,2214.647021,110000000
